ID,Aware_M,Aware_P,Aware_T,Aware_B,Aware_MV,Strong_M,Strong_P,Strong_T,Strong_B,Strong_MV,Known_M,Known_P,Known_T,Known_B,Known_MV,Attr_M,Attr_P,Attr_T,Attr_B,Attr_MV,Dr_1,Dr_2,Dr_3,Dr_4,Dr_5,Dr_6,Dr_7,Dr_8,Dr_9,Dr_10,Dr_11,Dr_12,Dr_13,Dr_14,Dr_15,HowLong,NPS,Prod_data,Prod_sms,Prod_call,Prod_extra,Prod_other,Cont_winkel,Cont_tel,Cont_mail,Cont_social,Cont_web,Gender,Age,Dr_12r,F_pricevalue,F_productquality,F_innovativeness,F_CRM,F_community,,,,,,,
R_0cQKpnLTABtif3f,4,3,3,3,4,5,5,5,4,5,7,7,7,6,6,6,6,6,6,6,4,5,6,4,6,6,5,4,5,6,2,1,6,6,6,4,10,4,5,3,2,1,4,1,5,5,5,1,23,7,5.67,4.50,6.00,4.00,4.50,,,,,,,
R_4YoEIVeOchlgCwt,5,1,1,1,5,1,#NULL!,#NULL!,#NULL!,6,7,#NULL!,#NULL!,#NULL!,3,4,#NULL!,#NULL!,#NULL!,6,6,6,6,4,5,6,5,5,6,6,5,4,7,6,4,4,10,3,5,4,2,1,5,5,7,3,7,0,24,4,5.33,4.50,5.67,4.50,6.00,,,,,,,
R_aYj6xkwwmuxZYCp,3,5,4,3,5,4,7,7,2,7,6,6,6,4,2,4,6,6,2,6,6,4,6,7,6,7,6,5,7,6,3,2,6,6,5,4,9,4,3,2,5,1,3,1,7,7,3,0,26,6,6.33,4.50,5.67,6.00,5.00,,,,,,,
R_b8hdCwNgP0rClvf,4,5,5,4,5,7,7,7,6,6,7,7,7,7,7,5,6,7,6,7,6,6,6,6,7,7,6,6,6,6,4,5,5,6,5,3,9,5,3,2,4,1,1,1,6,7,6,0,33,3,6.67,3.50,5.33,6.00,6.00,,,,,,,
R_ey2Ey3ZtHHdLMOh,3,4,4,1,5,4,4,4,#NULL!,6,4,5,4,#NULL!,5,4,4,4,#NULL!,6,4,4,4,5,6,5,5,3,4,4,3,3,7,7,7,4,10,5,4,3,2,1,1,1,6,5,6,1,20,5,5.33,4.00,7.00,4.00,4.00,,,,,,,
R_2hGuYnjLkdkfjdb,3,3,2,2,5,4,4,4,4,6,6,6,6,6,5,4,4,4,4,6,5,4,6,4,6,6,6,6,6,6,6,2,6,6,6,4,10,5,4,2,3,1,3,3,7,5,5,1,23,6,6.00,6.00,6.00,5.00,4.50,,,,,,,
R_39Of619rTZrNc0J,1,1,1,1,5,#NULL!,#NULL!,#NULL!,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,6,4,5,7,4,7,6,7,5,7,7,6,1,6,6,7,3,8,5,4,3,2,1,2,5,5,2,5,1,29,7,6.67,6.50,6.33,4.50,4.50,,,,,,,
R_9KWTfUiWGC5hJVr,4,4,2,2,5,4,4,4,5,6,6,6,6,6,4,4,4,4,4,6,4,4,5,4,5,5,5,6,5,5,4,2,7,6,6,6,9,4,5,2,3,1,4,4,6,5,4,0,24,6,5.00,5.00,6.33,5.00,4.00,,,,,,,
R_55fuZMK9ugVefEp,5,5,5,5,5,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,4,7,7,7,7,7,6,7,7,7,7,2,7,7,7,4,10,4,5,2,3,1,4,3,7,4,7,0,25,6,6.67,6.50,7.00,7.00,5.50,,,,,,,
R_4V1IlIG5TmyBwOh,4,4,4,3,5,7,7,7,7,7,7,7,6,7,6,6,5,7,6,7,3,3,7,6,6,6,6,6,6,6,6,2,6,4,6,4,10,2,3,5,4,1,6,7,6,6,7,0,22,6,6.00,6.00,5.33,6.00,3.00,,,,,,,
R_4U5CDeNHh0Q0kfP,4,4,3,4,4,6,7,6,6,6,6,7,6,5,5,5,6,6,6,7,4,4,4,5,6,7,6,5,6,4,4,4,6,6,5,4,9,5,3,4,2,1,3,3,6,4,5,0,32,4,6.33,4.00,5.67,5.00,4.00,,,,,,,
R_4INaoCReOw24cyV,4,5,4,4,5,5,5,6,6,7,7,7,7,7,7,5,5,6,6,7,5,6,5,5,6,5,5,5,5,5,6,2,6,5,6,3,10,2,5,4,3,1,6,5,7,6,7,1,26,6,5.33,6.00,5.67,5.00,5.50,,,,,,,
R_2tPLrEK9xxiEmKF,4,4,3,3,5,4,4,5,3,6,7,7,7,6,5,5,5,6,4,6,6,4,6,5,7,7,6,5,6,6,6,3,7,6,7,4,10,5,3,4,1,2,2,4,4,6,7,1,28,5,6.67,5.50,6.67,5.00,5.00,,,,,,,
R_cNizdMUyCrYLrCt,4,4,1,5,5,6,7,#NULL!,6,6,7,7,#NULL!,7,5,4,4,#NULL!,4,7,7,6,7,7,7,6,7,4,7,6,6,1,4,4,6,4,10,4,5,2,3,1,4,7,7,4,7,0,24,7,6.67,6.50,4.67,5.50,6.50,,,,,,,
R_0vVfrwjGVo17YgZ,5,5,5,5,5,6,6,6,6,6,7,7,7,5,4,3,3,5,4,6,4,5,5,4,6,6,6,4,5,5,4,6,5,4,5,4,10,3,1,4,2,5,3,3,6,3,6,0,25,2,6.00,3.00,4.67,4.00,4.50,,,,,,,
R_aWrUOUre5WJHspL,1,1,2,2,5,#NULL!,#NULL!,4,4,6,#NULL!,#NULL!,4,4,5,#NULL!,#NULL!,1,1,7,6,7,6,6,7,7,7,7,6,6,6,5,6,6,7,5,10,5,3,2,4,1,7,2,7,7,7,0,23,3,7.00,4.50,6.33,6.50,6.50,,,,,,,
R_38ae8YJnvqbSNi5,4,4,2,2,5,6,6,6,5,5,7,7,7,7,6,6,6,6,6,6,4,7,6,6,7,6,7,6,6,6,2,6,6,6,5,4,10,2,5,4,3,1,5,6,5,4,6,0,23,2,6.67,2.00,5.67,6.00,5.50,,,,,,,
R_bf68ZjggNQ4IxoN,3,3,4,4,4,4,4,1,5,7,7,7,7,7,6,3,3,1,6,7,7,6,7,7,7,7,7,7,7,7,7,1,7,7,7,5,10,4,5,3,#NULL!,#NULL!,5,3,7,6,6,1,23,7,7.00,7.00,7.00,7.00,6.50,,,,,,,
R_3rspshYHBn0M2vX,4,5,4,3,4,5,5,6,4,2,6,6,6,5,4,5,6,6,5,6,4,3,5,4,5,6,5,4,4,5,5,3,4,5,3,2,8,3,5,2,4,1,3,5,5,5,5,0,22,5,5.33,5.00,4.00,4.00,3.50,,,,,,,
R_daPSP1KrPU50uxv,1,1,1,1,5,#NULL!,#NULL!,#NULL!,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,7,5,4,5,7,4,6,5,7,7,6,7,3,7,7,6,6,10,1,3,5,4,2,1,7,7,1,4,0,19,5,5.00,6.00,6.67,7.00,4.50,,,,,,,
R_aXYdufUOeLcRVeB,4,5,5,4,5,5,6,6,4,6,5,7,7,6,5,3,3,4,4,7,4,6,6,5,6,6,6,5,6,5,5,2,5,5,6,4,9,5,4,3,2,1,3,3,6,3,6,1,19,6,6.00,5.50,5.33,5.00,5.00,,,,,,,
R_dfYCpKBK03fetLL,4,3,2,2,4,6,3,4,4,7,7,7,6,6,5,6,1,4,5,7,5,6,7,4,6,5,7,5,5,5,6,4,4,4,4,4,7,4,1,2,5,3,2,4,5,3,5,1,21,4,6.00,5.00,4.00,4.50,5.50,,,,,,,
R_baC4s4WNlFpDwvH,3,3,4,3,5,4,4,5,4,7,6,6,4,6,5,3,3,4,3,7,6,5,6,6,7,7,7,7,7,7,7,2,4,5,6,5,7,2,3,4,5,1,2,5,6,6,7,0,26,6,7.00,6.50,5.00,6.50,5.50,,,,,,,
R_etvgJONMnsEPR8V,5,4,5,2,5,2,7,2,4,4,7,7,7,7,3,4,5,4,4,6,4,5,6,4,4,4,5,4,4,4,5,3,4,4,5,1,9,5,3,2,4,1,3,3,3,3,6,0,27,5,4.33,5.00,4.33,4.00,4.50,,,,,,,
R_bj5DFd91G6pySTX,2,4,2,2,5,4,5,5,3,5,6,6,5,6,5,4,5,6,3,6,4,5,4,5,6,5,6,5,6,5,4,3,7,7,7,5,10,5,4,3,2,#NULL!,5,2,3,5,5,0,23,5,5.67,4.50,7.00,5.00,4.50,,,,,,,
R_4Z1yGQ5Z2KBbcIl,4,4,3,3,5,5,6,5,5,6,6,6,5,4,3,4,5,5,5,6,5,4,5,5,6,6,6,4,5,5,6,5,6,6,6,4,8,5,4,3,2,1,3,3,6,6,6,1,32,3,6.00,4.50,6.00,4.50,4.50,,,,,,,
R_4SMMiOllU6tizaJ,3,3,3,3,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,1,6,6,6,5,5,5,6,1,6,5,4,4,8,3,5,4,2,#NULL!,3,3,6,1,5,0,21,7,6.00,6.50,5.00,3.00,4.00,,,,,,,
R_035VQFpKNurbYKV,5,5,4,5,5,6,7,4,3,5,7,7,5,4,5,5,6,5,6,7,4,4,5,6,6,5,5,6,4,4,2,5,7,5,5,5,10,5,3,4,2,1,2,5,7,3,5,0,22,3,5.33,2.50,5.67,6.00,4.00,,,,,,,
